?   	github.com/eldius/initial-config-go/configs	[no test files]
?   	github.com/eldius/initial-config-go/logs	[no test files]
goos: linux
goarch: amd64
pkg: github.com/eldius/initial-config-go/setup
cpu: 12th Gen Intel(R) Core(TM) i7-12700H
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_1_key_to_redact-20           	 1000000	      1176 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  877902	      1248 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  871194	      1252 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  844662	      1256 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  908060	      1242 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  976345	      1247 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  923551	      1289 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  980595	      1239 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  900511	      1244 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  919435	      1252 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  884542	      1260 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  933477	      1251 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  959655	      1258 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  914696	      1260 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  841160	      1235 ns/op	     912 B/op	      15 allocs/op
BenchmarkRedactHandler/simple_string_attr_values/using_simple_string_attributes_and_2_keys_to_redact-20          	  932756	      1304 ns/op	     912 B/op	      15 allocs/op
